"candidate_name","win_count","avg_percentage"
"BURGESS OWENS",2,0.543747532710807
"BYRON DONALDS",2,0.646409198601254
"C CHRISTOPHER COX",1,0.676371051305695
"C L ""BUTCH"" OTTER",3,0.643074059384114
"C SCOTT FRANKLIN",1,0.74667088844689
"C W BILL YOUNG",19,0.797625134795808
"CANDICE S MILLER",7,0.677002162009074
"CARL D PURSELL",8,0.607972700566031
"CARLOS A GIMENEZ",1,0.63678427658063
"CARLOS CURBELO",2,0.522071650724862
"CARLOS GIMENEZ",1,0.517243090213933
"CARLOS J MOORHEAD",10,0.655958390089436
"CAROL D MILLER",2,0.689872171574119
"CAROL MILLER",1,0.563734034345801
"CARROLL A CAMPBELL",2,0.636436625966215
"CARROLL A CAMPBELL JR",1,0.522505607372299
"CARROLL CAMPBELL",1,0.928680112330865
"CASS BALLENGER",9,0.664824160499186
"CATHY MCMORRIS",4,0.612557884660899
"CATHY MCMORRIS RODGERS",6,0.596328807938227
"CHALMERS P WYLIE",8,0.68126082109586
"CHARLES ""CHIP"" PASHAYAN",3,0.680536707047437
"CHARLES ""CHIP"" PASHAYAN JR",1,0.706022225987898
"CHARLES BASS",2,0.525755959077579
"CHARLES BOUSTANY JR",1,0.549607418041192
"CHARLES E GRASSLEY",2,0.656392387913493
"CHARLES E WIGGINS",1,0.585748942225958
"CHARLES F BASS",5,0.539269188286336
"CHARLES F DOUGHERTY",2,0.595420857655364
"CHARLES H TAYLOR",8,0.557232698359293
"CHARLES J ""CHUCK"" FLEISCHMANN",4,0.643732116739213
"CHARLES J “CHUCK” FLEISCHMANN",1,0.683776209778312
"CHARLES PASHAYAN JR",2,0.5425016247202
"CHARLES T CANADY",4,0.69664295123173
"CHARLES THONE",1,0.731809375436914
"CHARLES W ""CHIP"" PICKERING",5,0.758079912895294
"CHARLES W ""CHIP"" PICKERING JR",1,0.613588527936049
"CHARLES W BOUSTANY",1,0.618839045892581
"CHARLES W BOUSTANY JR",2,0.853490454017022
"CHARLES W DENT",7,0.627762365951972
"CHARLES W WHALEN JR",1,0.693872356817588
"CHARLIE NORWOOD",7,0.649880905844741
"CHESTER T KELLEY",1,0.69803831029552
"CHIP CRAVAACK",2,0.467825443878255
"CHIP ROY",3,0.550112528487446
"CHRIS CANNON",6,0.625174684149729
"CHRIS CHOCOLA",2,0.523116998579162
"CHRIS COLLINS",2,0.501308691063816
"CHRIS JACOBS",1,0.484208224191935
"CHRIS STEWART",6,0.599003880793543
"CHRISTOPHER COX",8,0.669879541760686
"CHRISTOPHER H SMITH",21,0.632922448152722
"CHRISTOPHER J LEE",1,0.386216902654593
"CHRISTOPHER JOHN LEE",1,0.682931778520312
"CHRISTOPHER P GIBSON",3,0.44639204261597
"CHRISTOPHER SHAYS",10,0.645019298059704
"CHUCK DOUGLAS",1,0.567513768164024
"CHUCK EDWARDS",1,0.537899182494011
"CHUCK FLEISCHMANN",2,0.60236922767229
"CLAIR W BURGENER",3,0.734076031597344
"CLARENCE E MILLER",8,0.698354190521892
"CLARENCE J BROWN",3,0.803225438883585
"CLAUDIA TENNEY",3,0.456323634479156
"CLAUDINE SCHNEIDER",5,0.644982135262669
"CLAY HIGGINS",2,0.728183521909959
"CLAY SHAW",1,0.545385512779722
"CLEVE BENEDICT",1,0.559498217638575
"CLIFF BENTZ",2,0.636837630186634
"CLIFF STEARNS",12,0.721911932570021
"CLINT DIDIER",2,1
"CLINT ROBERTS",1,0.583784883034414
