"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"A000369","Mark","Amodei","E.","Mark","Amodei","E.",,,,,"1958",,"[{""position"":""Representative"",""congressNumber"":116,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""NV"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":115,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""NV"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""NV"",""parties"":[""Republican""],""electionCirca"":false}]"
"A000195","John","Anderson","Bayard","John","Anderson","Bayard",,,,,"1922","2017","[{""position"":""Representative"",""congressNumber"":87,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":88,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":89,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":90,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":91,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":92,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""IL"",""parties"":[""Republican""]}]"
"A000208","Mark","Andrews",,"Mark","Andrews",,,,,,"1926","2020","[{""position"":""Representative"",""congressNumber"":88,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":89,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":90,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":91,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":92,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":97,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":98,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":99,""stateName"":""ND"",""parties"":[""Republican""]}]"
"A000215","William","Archer","Reynolds","William","Archer","Reynolds",,,"Jr.",,"1928",,"[{""position"":""Representative"",""congressNumber"":92,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""TX"",""parties"":[""Republican""]}]"
"A000217","Richard","Armey","Keith","Richard","Armey","Keith",,,,,"1940",,"[{""position"":""Representative"",""congressNumber"":99,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""TX"",""parties"":[""Republican""]}]"
"A000377","Kelly","Armstrong",,"Kelly","Armstrong",,,,,,"1976",,"[{""position"":""Representative"",""congressNumber"":116,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""ND"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""ND"",""parties"":[""Republican""],""electionCirca"":false}]"
"A000219","William","Armstrong","Lester","William","Armstrong","Lester",,,,,"1937","2016","[{""position"":""Representative"",""congressNumber"":95,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":101,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":99,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":98,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":100,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":96,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":97,""stateName"":""CO"",""parties"":[""Republican""]}]"
"A000375","Jodey","Arrington","Cook","Jodey","Arrington","Cook",,,,,"1972",,"[{""position"":""Representative"",""congressNumber"":116,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""TX"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""TX"",""parties"":[""Republican""],""electionCirca"":false}]"
"A000220","Jean","Ashbrook","Spencer","Jean","Ashbrook","Spencer",,,,,"1934",,"[{""position"":""Representative"",""congressNumber"":97,""stateName"":""OH"",""parties"":[""Republican""]}]"
"A000221","John","Ashbrook","Milan","John","Ashbrook","Milan",,,,,"1928","1982","[{""position"":""Representative"",""congressNumber"":87,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":88,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":89,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":90,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":91,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":92,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""OH"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""OH"",""parties"":[""Republican""]}]"
