"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"A000076","Donald","Albosta","Joseph","Donald","Albosta","Joseph",,,,,"1925","2014","[{""position"":""Representative"",""congressNumber"":96,""stateName"":""MI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""MI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""MI"",""parties"":[""Democrat""]}]"
"A000361","Rodney","Alexander",,"Rodney","Alexander",,,,,,"1946",,"[{""position"":""Representative"",""congressNumber"":108,""stateName"":""LA"",""parties"":[""Democrat"",""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""LA"",""parties"":[""Republican""],""electionCirca"":false}]"
"A000103","William","Alexander","Vollie","William","Alexander","Vollie","Bill",,"Jr.",,"1934",,"[{""position"":""Representative"",""congressNumber"":91,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":92,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""AR"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""AR"",""parties"":[""Democrat""]}]"
"A000118","Clifford","Allen","Robertson","Clifford","Allen","Robertson",,,,,"1912","1978","[{""position"":""Representative"",""congressNumber"":94,""stateName"":""TN"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""TN"",""parties"":[""Democrat""]}]"
"A000357","Thomas","Allen","H.","Thomas","Allen","H.",,,,,"1945",,"[{""position"":""Representative"",""congressNumber"":105,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""ME"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""ME"",""parties"":[""Democrat""]}]"
"A000376","Colin","Allred",,"Colin","Allred",,,,,,"1983",,"[{""position"":""Representative"",""congressNumber"":116,""stateName"":""TX"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""TX"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""TX"",""parties"":[""Democrat""],""electionCirca"":false}]"
"A000362","Jason","Altmire",,"Jason","Altmire",,,,,,"1968",,"[{""position"":""Representative"",""congressNumber"":111,""stateName"":""PA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""PA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""PA"",""parties"":[""Democrat""]}]"
"A000170","Jerome","Ambro","Anthony","Jerome","Ambro","Anthony",,,"Jr.",,"1928","1993","[{""position"":""Representative"",""congressNumber"":94,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""NY"",""parties"":[""Democrat""]}]"
"A000177","Joseph","Ammerman","Scofield","Joseph","Ammerman","Scofield",,,,,"1924","1993","[{""position"":""Representative"",""congressNumber"":95,""stateName"":""PA"",""parties"":[""Democrat""]}]"
"A000189","Glenn","Anderson","Malcolm","Glenn","Anderson","Malcolm",,,,,"1913","1994","[{""position"":""Representative"",""congressNumber"":91,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":92,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""CA"",""parties"":[""Democrat""]}]"
