"candidate_name","win_count","avg_percentage"
"BOB CARR",8,0.595281285116253
"BOB CLEMENT",7,0.752950273342905
"BOB ECKHARDT",1,0.606511788334543
"BOB EDGAR",3,0.528864027045187
"BOB ETHERIDGE",7,0.613295492053257
"BOB FILNER",10,0.663140838329574
"BOB FLORES",1,1
"BOB GAMMAGE",1,0.500695013537204
"BOB NAMER",1,1
"BOB SHAMANSKY",1,0.525570105026982
"BOB STUMP",3,0.655906533588357
"BOB TRAXLER",8,0.693820268690285
"BOB WISE",1,0.649128990474848
"BOBBY BRIGHT",1,0.502334773864451
"BOBBY L RUSH",15,0.802501063170136
"BONNIE WATSON",1,0.60950622110187
"BONNIE WATSON COLEMAN",4,0.650763532406133
"BRAD ASHFORD",1,0.489023899620428
"BRAD CARSON",2,0.645088498736957
"BRAD ELLSWORTH",2,0.628789276041932
"BRAD MILLER",5,0.597310340734778
"BRAD SCHNEIDER",3,0.562731157226853
"BRAD SHERMAN",14,0.678385864631089
"BRADLEY SCOTT SCHNEIDER",2,0.63437723264498
"BRADY PINERO WALKINSHAW",1,1
"BRENDA L LAWRENCE",2,0.788921395956924
"BRENDA LAWRENCE",2,0.793346793085797
"BRENDAN F BOYLE",5,0.788648332366005
"BRIAN BAIRD",6,0.6030234775251
"BRIAN HIGGINGS",1,0.578371710126908
"BRIAN HIGGINS",8,0.616273690959389
"BRIAN J DONNELLY",7,0.885799806380692
"BRIAN M HIGGINS",1,0.424649398229557
"BRITTANY PETTERSEN",1,0.563760825740303
"BROCK ADAMS",1,0.729966907307697
"BRUCE A MORRISON",4,0.596662597010024
"BRUCE BRALEY",1,0.551007817696334
"BRUCE F VENTO",7,0.656521277616812
"BRUCE L BRALEY",3,0.570096600827072
"BRYAN WITT",1,1
"BUD CRAMER",1,0.671368249763931
"BUDDY MACKAY",3,0.769380295514951
"BUDDY ROEMER",1,1
"BUDDY ROEMER III",1,1
"BUTLER C DERRICK",1,0.999024224682873
"BUTLER DERRICK",8,0.664663483380266
"BYRON L DORGAN",5,0.695609076405228
"BYRON L DORGANSTEVE SYDNESS",1,0.708652519151149
"C A DUTCH RUPPERSBERGER",10,0.642225795590594
"C THOMAS MCMILLEN",2,0.635787033968955
"CA DUTCH RUPPERSBERGER",1,0.660085589533442
"CALVIN DOOLEY",1,0.545434738113945
"CALVIN M DOOLEY",6,0.591385748591976
"CARDISS COLLINS",10,0.841796328211817
"CARL C PERKINS",4,0.656963260402236
"CARL D PERKINS",4,0.822676043010236
"CAROL SHEA-PORTER",4,0.492676551436193
"CAROLYN B MALONEY",15,0.649305390794147
"CAROLYN BOURDEAUX",1,0.513912519113562
"CAROLYN C KILPATRICK",7,0.86827177566165
"CAROLYN MCCARTHY",9,0.508294515847354
"CARRIE P MEEK",5,0.977442113625504
"CARROLL HUBBARD",1,0.999841259042565
"CARROLL HUBBARD JR",7,0.948385733231763
"CEC HEFTEL",2,0.812481289701597
"CECIL ""CEE"" HEFTEL",1,0.732610127196479
"CECIL L HEFTEL",2,0.66774381972707
"CEDRIC L RICHMOND",4,0.850444517265414
"CEDRIC RICHMOND",2,0.725884690178431
"CHAKA FATTAH",11,0.889070865898074
"CHARLES ""BUDDY"" ROEMER",1,1
"CHARLES A GONZALEZ",6,0.793378021664888
"CHARLES A HAYES",4,0.954621614379959
"CHARLES A VANIK",2,0.693864043347491
"CHARLES A WILSON",1,0.622832114725725
"CHARLES A WILSON JR",1,0.620791299730863
"CHARLES B RANGEL",20,0.73833601443376
"CHARLES C DIGGS",1,0.791804467396495
"CHARLES C DIGGS JR",1,0.890059453285941
"CHARLES E BENNETT",8,0.917206638456843
"CHARLES E SCHUMER",9,0.681085324072444
"CHARLES G ROSE",3,0.73678021271566
"CHARLES G ROSE III",2,0.616811486651115
"CHARLES H WILSON",1,0.677568557761359
"CHARLES HATCHER",6,0.847130502581907
"CHARLES II WILSON",1,1
"CHARLES J CARNEY",1,0.502437533005364
"CHARLES JONES",1,1
"CHARLES LUKEN",1,0.510864669434063
"CHARLES O WHITLEY",3,0.653178759782741
"CHARLES ROSE",2,0.685661611218498
"CHARLES W STENHOLM",13,0.76965924887402
"CHARLES WHITELY",1,0.710843058927965
"CHARLES WHITLEY",1,0.687492207121355
"CHARLES WILSON",10,0.701062670228446
"CHARLIE CRIST",3,0.541956288130591
"CHARLIE GONZALEZ",1,0.631716282162257
"CHARLIE MELANCON",2,0.790517197115843
"CHARLIE ROSE",3,0.579605516701086
"CHELLIE PINGREE",8,0.585454914412959
"CHERI BUSTOS",5,0.566311823109254
"CHESTER G ATKINS",4,0.649392326990303
"CHET EDWARDS",10,0.587992990185217
"CHRIS BELL",1,0.547594853865629
"CHRIS BLAKE WIGGINS",1,1
"CHRIS DELUZIO",1,0.533921815193532
"CHRIS JOHN",1,0.868192348631895
"CHRIS MURPHY",1,0.56463609483756
"CHRIS PAPPAS",3,0.529605407709833
"CHRIS VAN HOLLEN",7,0.679502347605799
"CHRISSY HOULAHAN",1,0.583142154415391
"CHRISSY J HOULAHAN",1,0.560542223850522
"CHRISTINA GAGNIER",1,1
"CHRISTINA JAMPOLER HOULAHAN",1,0.588759160846575
"CHRISTOPHER CARNEY",1,0.528959086913288
"CHRISTOPHER J DODD",2,0.67486803675145
"CHRISTOPHER JOHN",2,0.916376449044326
"CHRISTOPHER P CARNEY",1,0.563316498434424
"CHRISTOPHER S MURPHY",2,0.526345278334078
"CINDY AXNE",1,0.493042631252439
"CIRO D RODRIGUEZ",4,0.766094004903384
"CLARENCE ""BUDDY"" HUNT",1,0.864733110104392
"CLARENCE D LONG",4,0.618197349828628
"CLAUDE ""BUDDY"" LEACH",1,0.501016042780749
"CLAUDE HARRIS",3,0.65998944880665
"CLAUDE PEPPER",7,0.737453996498856
"CLEMENT J ZABLOCKI",4,0.826525275755399
"CLEO FIELDS",1,1
"CLIFFORD ALLEN",1,0.92419446056217
"CLYDE F BELL JR",1,0.655972392596687
"COLIN ALLRED",1,0.522701545606269
"COLIN Z ALLRED",2,0.586521547612391
"COLLEEN HANABUSA",1,0.5322763947236
