,id,givenName,familyName,middleName,unaccentedGivenName,unaccentedFamilyName,unaccentedMiddleName,nickName,honorificPrefix,honorificSuffix,honorificTitle,birthYear,deathYear,position,congressNumber,stateName,parties,electionCirca,electionDate,leadershipPositions,electionYear,ageDuringElection
47,A000052,Joseph,Addabbo,Patrick,Joseph,Addabbo,Patrick,,,,,1925,1986.0,Representative,89,NY,['Democrat'],,,,1964,39
48,A000052,Joseph,Addabbo,Patrick,Joseph,Addabbo,Patrick,,,,,1925,1986.0,Representative,90,NY,['Democrat'],,,,1966,41
49,A000052,Joseph,Addabbo,Patrick,Joseph,Addabbo,Patrick,,,,,1925,1986.0,Representative,91,NY,['Democrat'],,,,1968,43
50,A000052,Joseph,Addabbo,Patrick,Joseph,Addabbo,Patrick,,,,,1925,1986.0,Representative,92,NY,['Democrat'],,,,1970,45
51,A000052,Joseph,Addabbo,Patrick,Joseph,Addabbo,Patrick,,,,,1925,1986.0,Representative,93,NY,['Democrat'],,,,1972,47
52,A000052,Joseph,Addabbo,Patrick,Joseph,Addabbo,Patrick,,,,,1925,1986.0,Representative,94,NY,['Democrat'],,,,1974,49
53,A000052,Joseph,Addabbo,Patrick,Joseph,Addabbo,Patrick,,,,,1925,1986.0,Representative,95,NY,['Democrat'],,,,1976,51
54,A000052,Joseph,Addabbo,Patrick,Joseph,Addabbo,Patrick,,,,,1925,1986.0,Representative,96,NY,['Democrat'],,,,1978,53
55,A000052,Joseph,Addabbo,Patrick,Joseph,Addabbo,Patrick,,,,,1925,1986.0,Representative,97,NY,['Democrat'],,,,1980,55
56,A000052,Joseph,Addabbo,Patrick,Joseph,Addabbo,Patrick,,,,,1925,1986.0,Representative,98,NY,['Democrat'],,,,1982,57
57,A000052,Joseph,Addabbo,Patrick,Joseph,Addabbo,Patrick,,,,,1925,1986.0,Representative,99,NY,['Democrat'],,,,1984,59
58,A000364,John,Adler,H.,John,Adler,H.,,,,,1959,2011.0,Representative,111,NJ,['Democrat'],,,,2008,49
59,A000371,Peter,Aguilar,Rey,Peter,Aguilar,Rey,,,,,1979,,Representative,114,CA,['Democrat'],,,,2014,35
60,A000371,Peter,Aguilar,Rey,Peter,Aguilar,Rey,,,,,1979,,Representative,115,CA,['Democrat'],,,,2016,37
61,A000371,Peter,Aguilar,Rey,Peter,Aguilar,Rey,,,,,1979,,Representative,116,CA,['Democrat'],,,,2018,39
62,A000371,Peter,Aguilar,Rey,Peter,Aguilar,Rey,,,,,1979,,Representative,117,CA,['Democrat'],False,,,2020,41
63,A000371,Peter,Aguilar,Rey,Peter,Aguilar,Rey,,,,,1979,,Representative,118,CA,['Democrat'],False,,,2022,43
64,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,110,HI,['Democrat'],,,,2006,82
65,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Representative,98,HI,['Democrat'],,,,1982,58
66,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,103,HI,['Democrat'],,,,1992,68
67,A000069,Daniel,Akaka,Kahikina,Daniel,Akaka,Kahikina,,,,,1924,2018.0,Senator,105,HI,['Democrat'],,,,1996,72
